premise,hypothesis,label
"First Lady Laura Bush at podium, in front of seated audience, at the White House Conference on Global Literacy.",Laura Bush is driving a jet-ski near the Washington monument.,0
An older man is riding a bike with a blue laundry hamper full of clothes on his handlebars.,An old man is riding a bike with a blue laundry hamper that is full of clothes on his handlebars.,0
Three men on mountain bikes go over a sand hill.,Men walk their bikes after getting flat tires.,0
women's soccer team competing on the field.,A women's soccer game.,0
A woman is holding her child while a man is reading something from a piece of paper and taking something from a bowl that a younger girl is holding in a park with a small lake in the background.,The people are swimming in the lake.,0
Naked children play on the muddy riverbank.,THE RIVERBANK STAYED CLEAN EVERYDAY,0
a guy with long hair is making a sand sculpture,A women is skiing of the mountain.,1
A woman in a striped shirt is walking a horse across a street.,A woman in a striped shirt is running with a dog across a street.,0
Four people walk across stepping stones in a body of water.,Four people are standing up.,0
Five boys in blue shirts drawing at a table.,There are children wearing blue.,1
"Two performers, one man playing a guitar, and one woman with a mic raised to her mouth are sitting on chairs performing.",A man and woman are kissing in a car.,1
A black scientist looks through a scope examining a biological specimen's blood cells.,he eats stars,1
A female camera operator is capturing some off-camera activity.,A lady is taking a picture,1
two women in lingerie with green feathers around waist,A woman wears lingerie.,1
Two racers race on motorcycles.,Two people are racing cars.,1
A man in shorts and flip-flops is carrying a bag on his back.,A man is outside with no bag on his back.,0
An African-American male youth is riding a green bicycle while other people are looking at pictures on a board.,A boy is walking on a sidewalk in his neighborhood.,0
"A young, well-dressed black man seated behind a drum set and smiling.",the man is naked,0
A man from one football team trying to dodge a tackle from a player from the opposing football team.,A man tries to tackle a player in a game of football.,1
There is a large group of people standing together mostly wearing Canada symbols.,There is one person .,1
a woman in a black shirt looking at a bicycle.,A woman in green sleeps on a couch.,0
A fireman with a neon helmet and a pickaxe inspects some debris with a flashlight.,A fireman with an axe looks at some debris.,1
Male wearing brown shorts and black t-shirt in his bedroom with his feet on the desk talking on the phone.,A man is laying on the couch as he talks on the phone.,0
"Four cyclists are racing on an indoor racetrack all wearing the same red, white, and blue uniforms.",There are cyclists racing.,1
People dressed in traditional Japanese garb walk in a procession through a courtyard paved with paving stones.,People dressed in Japanese clothing walk through a courtyard.,0
People are standing next to a chain link fence.,The people are outside.,1
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men look at the camera,1
Man is shaving in the mirror.,The man has no facial hair.,0
A woman with short blond-hair rises from a chair as another woman in a burgundy shirt laughs.,A woman rises from a chair,0
Girl wearing white shirt sings on stage while playing guitar,A man play the triangle.,1
A woman wearing a red work man's hat and red jacket is hiking in the snow topped mountains.,A person is in the woods.,0
Two young boys are playing with a toy train set on a wood floor.,The floor is made of wood.,0
"A young man in a white hat is playing golf with an older man wearing a blue, long-sleeved shirt and khakis.",There are two men boxing at a crowded gym.,0
"Two babies, one in red, asleep in their highchairs.",babies making poopies while playing in the sand on a Florida beach,0
A police person is on a motorcycle on the side of a street.,The fireman is sitting in his truck.,0
Two adult men in black t-shirt and loud tunics hold smoking torches in preparation for an act of entertainment or celebration in a forested environment.,Two men hold torches to celebrate,1
A man playing billiards at a bar.,A man is playing billiards.,1
"Adults and children share in the looking at something, and some young ladies stand to the side.",Some children are looking,1
A child floating on a blue raft while a woman holds on to him while a black dog swims nearby.,A person floating,0
A young man with glasses and his companion are attempting to do laundry in a public place.,A person with glasses,1
"A lone person in a long, black trench coat and scarf and carrying a red bag goes past an apparently-closed cafe at night, with the text ""CAFE DE FLO"" visible on the cafe canopy banner.","A man walks by an open cafe named ""Cafe De Flo""",0
A group of soldiers march in a parade.,A group of dogs march in a parade.,0
Two girls playing catch on a lawn,Children playing a game on green grass.,1
A man trying his hardest to climb up a rope.,A man is climbing a rope.,0
Little boy getting soaked playing an outdoor water game.,A little boy is wet outside.,1
Young man performing a skateboard trick on a sidewalk in a city.,A young man is perfoming a good skill on a skateboard on the sidewalk in a metropolitan area.,1
Two dogs are digging under a large rock with their bottoms to the camera.,Dogs are digging a hole.,0
Two girls pass two boys by a tree in a neon lit street.,Some kids eat dinner with their families.,1
A man wearing a gray shirt and pink wristband plays the drums.,a man in a gray shirt and pink wristband plays drums,0
A white greyhound dog wearing a muzzle runs around a track.,The dog is racing other dogs.,1
A child looks at a cactus garden.,A child is looking at a red wall.,0
A lady and a man in a hat watch baseball from the stands.,A couple are riding a rollercoaster.,0
"The basketball player in the blue uniform is guarding the player in the orange uniform, who has the ball.","A orange uniform basketball player with ball is guarded by, a blue uniform opponent team player",1
A man in an orange turban is standing in front of a basket containing a pack of marlboro reds and other small objects.,A man in a white turban holds an empty basket.,0
Young boy smiles at the camera from the tire swing.,He is outside.,1
A person enjoys a beautiful sunny day paragliding.,The person is swimming.,0
Man in red jacket is opening the door while holding his car keys.,Man in red jacket is opening the door while holding his car keys,0
Young children play on scaffolding.,Young people play on scaffolding.,1
A chef is cutting a piece of fish with a chefs knife.,"The chef is at home, fast asleep.",0
A brown-haired woman in a blue shirt decorated with gold trimmings paints a picture of two windows.,A girl is making scrambled eggs.,1
Three women are dressed in ninja costumes.,There are multiple people present.,1
Dog yawns,A dog is singing the National Anthem.,1
A little boy playing outside on the cement.,A boy is doing homework.,0
A dog with a collar on lying on the street.,The dog is standing on two legs.,0
Man and woman eating a hotdog.,A man and woman are sharing a hotdog.,1
A girl in a yellow dress looks at a restaurant building.,A girl in front of a building.,1
"A teenager blows a whistle and wears white face paint, earmuffs, and a yellow hat while another teen watches.",A person in face paint,1
Three men in orange suits are doing street repairs at night.,Three men are doing repairs.,1
A man in a blue helmet is riding his motorcycle.,The man is sparring in the gym.,0
A big dog and a smaller dog fight over a piece of fabric.,A group of dogs fighting over a dead body.,1
A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.,The man is wearing shorts and a t-shirt as he jogs.,0
A Vietnamese woman wearing a gray top carries large clear bags of groceries using a stick to balance everything on her shoulder.,Nobody is carrying anything,0
Five people standing under a tent-like structure celebrating the 25th Annual Longboard Classic.,There are two people.,1
A young male wearing a blue hat turned backwards and slightly sideways with a cigarette in his mouth.,A man is wearing a cowboy hat.,0
Two dogs run together near the leaves.,Two dogs are running.,0
Men in an office with computers and a projector screen.,The men are at the gym.,0
"A man wearing a green apron, working at a street side vendor called NY Dosas, miles at the camera.",A man is sitting at a table in a bistro.,0
A man jumping a dirt ramp on a bmx bike.,A man jumps his bike.,0
Two dogs are looking through a rusty wire fence.,Two dogs are sleeping by the fireplace.,0
Sled and dogs headed towards another group of sled dogs with one loose.,There are dogs.,1
a lone snowboarder jumping in midair with a snow covered mine in the background,A person is snowboarding behind a football field,0
A person rolls down a hill riding a wagon as another watches.,Two people are outside.,1
A beach boardwalk during summertime.,A wooden path towards the shore.,0
A young boy in a cowboy hat rides a large horse.,A boy rides a horse.,0
A group of four children poke at two small turtles in the grass.,A group of kids poked at the two small turtles.,0
"A group of men, women and children are standing around.",A large group of people are standing around.,1
The man in the black shirt is skateboarding on the front steps of the building.,A person with a dark top is outside doing something active.,1
A young cowboy is riding bucking bronco in an arena.,A cowboy is riding a bronco outside.,1
A woman sitting in an office.,A woman in a office,0
A gymnast using a set of paralleled bars.,A gymnast is performing a routine on the bars.,0
A boy on a skateboard in midair,The boy is riding his board.,0
A boy splashing through the ocean.,The boy is swimming.,0
A boy rollerskating in the street.,A boy is outside,1
"A worker dressed in hazard orange, face-down in an open street work.",A person is wearing orange.,1
Six people are jumping up in excitement with costumes on with vibrant pink and orange colors in the sky are four hot air balloons they appear to be in a dry dessert setting,Six people are in a dessert.,0
"In an apparent classroom setting, a young man in a blue t-shirt has a book on his knee while a woman dressed in black next to him leans in to point out something in the book.",Both of them are illiterate.,0
Children play in the sand surrounded by a sand structure with a lot of window like openings.,The children are playing in the sand.,0
"A guy in boots, jeans and a blue shirt is falling off a bull by a cowboy standing on a red fence with the numbers 2 and 4 on it.",A guy standed near the fence.,0
Rock band on stage immersed in light show.,All of the lights are dimmed.,0
A boy with no shirt is standing in water.,The boy is sitting on the couch.,0
A blond woman in a white shirt demonstrates her talents to a crowd.,A woman performs for the crowd.,1
Taking a break to watch some TV,Taking a neverending break,0
A man holding a picture of a small dog is painting a small dog in near life size on a white canvas.,The man holding the painting was watching tv,1
A guy surfing in a lake or river while a boat is pulling him,That man is on a surfboard.,0
Four kids pose on a stage.,Several little people are breaking into a theater.,1
A yellow race car sliding through a corner as spectators watch.,A racecar is being watched.,1
Three people are dressed in costumes and playing musical instruments.,The people are working at an office.,0
"A man in a black hat, standing on the street while playing an electric guitar and singing.",A man is playing a guitar outside.,1
The basketball is in the hands of the guy with the red shirts the others are trying to steal the ball to score for their team,a guy with a basketball,0
A young boy wearing a red shirt runs along a gravel road.,A boy sits in the road.,0
Two men with graying beards share a laugh while enjoying the nice weather.,Men are laughing together on a nice day.,0
"A young man in jeans and a red shirt, wearing yellow gloves, holds a tree branch.",A man swims across a pool,0
A man and wife stand at the alter as they get married.,Two people are going to a hockey game,1
"A man wearing blue pants, a white helmet, and a green-striped shirt is shown on skis in midair, against a blue sky with a single puffy cloud.",The sky is blue with a single puffy cloud.,0
Birds flying above the rolling waves of the ocean.,Birds flying above a body of water.,1
Several men in black t-shirts and caps are using with metal rods to smash food that's lying on a round table with a hole in the center.,men using metal rods,1
A barefoot child climbs at the jungle gym.,A child is playing outside on a jungle gym.,0
A woman in a black coat eats dinner while her dog looks on.,A woman is wearing a black coat,0
"A man in gray on a rocky cliff, overlooking the mountains.",The man is underwater looking for fish.,1
"A group of people in a room, most with computers, some raising their hands.",The group of people is outside playing basketball.,0
A group of uniformed officers in a street wearing a mixture of gas masks and face shields.,The cops are sitting in a donut shop.,0
Two young girls in bathing suits laugh while standing under a fountain of water.,Two young girls are standing under a fountain of water.,0
A four piece band plays a song on a medium-size stage.,A band is playing music on a stage.,1
A group of people are in a special formation on a soccer field.,The group of people are flying in the air on their unicorns.,1
A man and a woman are showing their kid their little baby.,A man shows off his baseball cards.,0
A father and his daughter are riding a lawn mover down a street while dressed in American colors.,two men cut grass by hand,0
A businessman in a white sweater conducts necessary business in a plaza using a concrete abutment as a work table.,monkey eats bananas,0
A person in a black and green outfit is riding a bicycle.,a girl runs down the street,0
A man is holding a microphone in front of his mouth.,A male has a device near his mouth.,1
An olympian leaps over an obstacle.,An athelete jumps.,1
During calf roping a cowboy calls off his horse.,A man ropes a calf successfully.,0
A woman looks at a picture and framing tools while standing in a sparse building with wooden floors and bare white walls.,A woman is dancing in an art gallery.,0
An old man talks to a street performer wearing makeup with a pet monkey.,The man is confined to bed.,0
A photographer and assistant take a photo of a man in a suit and a woman in a dress in front of large white columns and a yellow wall.,The photographer is taking a photo of a dog.,0
A patient is being worked on by doctors and nurses.,A man is sleeping.,0
A group of African Americans getting ready to eat.,An outdoor concert at the park.,0
"Right leg in a brace, a young boy lies on the couch while using his cellphone.",The boy is walking around,0
Two men are working together to empty the barrel of its contents.,Two men are emptying a barrel.,0
A young man does tricks on his skateboard.,Two girls sit quietly and sharpen knives for the sad work ahead.,1
Two police officers in yellow reflective jackets are standing in a shopping zone having a conversation.,Two police officers in yellow reflective jackets are standing in a shopping zone,0
Two people are playing American Football and one of them is trying to stop the other from throwing the ball.,A game of football is being played.,1
A man dressed in a brown shirt and tan shorts is down on one knee looking at some type of machinery.,The man is wearing tan pants.,0
"Men playing basketball, the guy with the ball is attempting a layup.","Men are playing basketball, the guy with the ball is shooting a free throw.",0
A bare chested smiling child plays in water.,There is a topless child playing in the water.,1
A group of young adults wait in line outdoors in the daytime.,A group of people wait in a line.,0
A young boy in green practices juggling in a parking lot.,The young man is sleeping.,0
A man wearing a jacket is listening to headphones while walking down the sidewalk along a street.,A man sitting on a bench outside.,0
Several street vehicles pass by a traditional architecture style of Thailand.,Vehicles are going down a street in Thailand.,0
A man in a red shirt is sitting on top of a rocky mountain.,A man sitting on top of a mountain.,0
A young female standing on the deck of a boat starring at her cellphone while riding on the water.,A girl is talking on a landline.,1
An older woman with short red-hair is preparing food in a kitchen.,An old woman is in the kitchen.,0
Two girls are sitting on a park bench one is looking at her phone and the other is looking on.,The two girls are at school taking an exam.,0
The children play in the pool.,The children are in the water.,0
a big black dog jumps in the air to catch the tennis ball in his mouth.,The dog is white.,0
A family smiling on the couch.,A family is playing out in their backyard.,1
An engineer with a blue jacket and cap wears purple gloves while looking up.,The engineer was falling asleep.,0
A number of cute asian children playing tambourines,A group of cute Asian children are playing trumpets,1
A brown and white dog swims in a backyard swimming pool.,A dog sleeping on the porch.,0
A woman getting her face painted for a parade.,the woman has make-up on her body,1
Everyone on the street in the city seem to be busy doing their own thing.,People are milling about the city street.,1
"A chef in a kitchen cuts a piece off of a large slab of rotating meat on a stick, probably lamb.",A human being is in a kitchen with meat in front of him.,0
An Obama Biden supporter cheers for the Presidential candidate and his running mate.,Someone is cheering for a presidential candidate.,1
A man tests model airplanes in an open field.,A man is testing model airplanes.,1
"A boy wearing jeans, standing on rocks in a river and throwing a stone.",A boy throwing a stone.,0
A woman in bridal wear embraces an individual.,The president takes the oath of office.,0
Tan dog running through long grass in a park-like setting.,A man chops veggies.,1
A hand holds a strainer with a small amount of liquid in it with a table with bins in the background.,A city of ice sits in the distance.,0
A man in a suit stands on a walkway with is suitcase with a large display in front of him announcing airline flights.,A man is at an airport.,0
Two boys in front of a soda machine.,Two boys are at a machine.,0
"A man on a bicycle rides past a park, with a group of people in the background.",A guy rides past the park.,0
A young woman wearing a yellow shirt and off-white shorts is reading a book while sitting on a park bench.,A man reading a book while sitting on a bench.,0
A man grilling a hamburger.,The man is near the grill.,0
"Indy car, white, blue with a red mark on the roof, rounding a turn, in front of the white car.",Race cars,0
Two people are setting up a photo shoot of a mobile in a white room.,The room is black.,0
A man with an afro and bandanna playing electric guitar.,the guy with the afro is eating spinach,0
A young girl in a black leotard swinging on the lower wrong of a pair of parallel bars in a gym while a young man spots her.,The young girl is wearing a black leotard,0
An old gray-haired man with glasses in a gray t-shirt is working on a sculpture.,The man is 10 years old,0
A young african child in a dirty yellow shirt carrying a bag on his head.,A young African child playing soccer.,0
A basketball player in white in red goes up for the shot as two defensive men in red jump up to block the shot.,The basketball player on the white team makes the basket.,0
"An athletic woman in a gray top and black shorts, seems very focused on her rollerblading.",woman rollerblading,0
A man is holding a child on his shoulders.,A child is going for a ride on that man.,1
A man dressed in black and white is standing on the side of the street eating an ice cream cone.,The man is eating sushi in his bathtub.,0
"A black man in a knitted, blue cap and green, collared shirt sit next to a stump slicing a coconut.",A man drinking coconut water.,0
An oriental woman cleaning wood outside from a bucket.,A man is cleaning wood.,1
Four people walk across stepping stones in a body of water.,Three people are riding in a boat.,1
A small child with a backpack walks down a narrow road next to a painted wall.,A small child is walking on a road,0
An Asian man makes faces for the camera.,Faces are being made to the camera.,1
A young lady toying with her watch.,A woman is fidgeting.,0
a guy with long hair is making a sand sculpture,A long haired guy is working with sand.,1
A choir made up of varying ages of people are performing.,The choir are taking in a ball game.,0
A cheerleader in a tight red and white uniform is passing out white t-shirts at a sporting event.,A cheerleader passes out shirts,0
Chefs prepare food on a grill in front of their customers.,The chefs are making food for themselves.,1
a young boy in green playing ping-pong with a older man in blue in a gymnasium,They are playing ping pong.,1
"There is one man with light blue jeans on, and one with dark blue jeans on that are walking down the street.",Two men are wearing jeans.,1
"A guy with a football, a crowd watching him.",There is a guy holding a football.,0
Scientists frantically research ways to finally eliminate male baldness.,"A group of scientists walks into a bar, and order a drink, then sit down and drink it.",0
A man waiting in an airport terminal writes on a piece of paper as others are seen behind.,A man scribbles indoors.,0
Some people are relaxing in front of a large red building.,A crowd relaxes in front of a large red building.,0
Young child standing on a snow pile in a city.,the man is white,0
Athletic men in matching black pants performing under the spotlight.,The men are wearing black pants.,0
A child bowling at the bowling alley.,A professional bowling team wins the championship.,1
Two men are laying floor tiles in a doorway.,Two men are doing hard labor.,1
Three men in Soldier dress and helmets stand with guns outside of a building.,There are people standing outside.,1
A woman in a white shirt inspects a black garment while sitting in a chair at a festival.,A woman drinks a beer.,0
"There are two young ladies jogging, by the ocean side.",Two women are jogging by the beach.,0
"It's another day of celebration, with a parade and signs, with many people in attendance.",People have gathered for a funeral,1
A young man in a blue T-shirt and sweatpants stands over a stove and looks at the camera while another young man stands behind him.,A man is in front of a camera.,0
Asian class posing for picture with Stormtrooper,The stormtrooper is being photographed.,1
Two men and two women in jackets walk down a large city street.,There are people outside.,1
Six older women are standing in a row at a table smiling and looking trough books and other material displayed on the table.,Books are strewn on a table as women look through them.,1
Some elderly people are playing instruments in a park.,A group of old people are outdoors playing music.,1
A little girl standing in the middle of a street cleared for an oncoming parade.,There is a boy collecting candy from a man in a clown costume.,1
An elderly lady holding a scruffy dog and smiling contently.,a woman holding her scruffy dog,0
Sports team members practice and relax on a basketball court.,Team members of a sport is relaxing after practice.,1
A woman wearing a yellow jacket skis down a snowy hill.,A woman is doing arithmetic at home.,0
Two men heavily immersed in a conversation worth having.,Two men are talking.,1
A tattooed woman clicking on a mouse on a desk.,A tattooed man clicking on a mouse on a desk.,0
A female dancer wearing all white dancing while a photographer wearing all white takes her picture.,A girl dancing and photographer take a photo,1
A woman floats in an innertube in a large body of water.,The woman is relaxing in water.,1
People dresses in business clothing are walking by while one man with a tie on is standing still and talking on his cellular phone.,The people are dressed in street clothes.,1
A woman taking candy off of a shelf and putting it in a box.,A woman sews a dress,0
A blond woman in a blue shirt looks on at an event.,The woman is wearing a blue shirt.,0
These girls are having a great time looking for seashells.,The girls are taking a nap.,0
A young boy wearing an orange uniform stands on the field near a colorful ball.,A girl is wearing a sweater.,0
"Two women are reading, one woman has a magazine with a Dior ad on the back of it, while the other woman is reading fro ma hard cover book.","Two women are cooking, one has steak, while the other has burgers.",1
People with bags walk along a dirt road in front of a green building.,People are walking outside.,1
A short-haired man in a dark camouflage jacket plays the saxophone on a street corner while people look on in the background.,a man is eating a sandwich,0
A man on stilts is performing a magical trick while onlookers enjoy.,a man on stilts performs a trick for an audience.,1
Two men in conversation while sitting at a bar.,Two men in conversation while sitting on the beach.,0
Two kids in black trunks bouncing on a wet trampoline.,Two kids are building a trampoline from scratch.,0
A mother and daughter walk along the side of a bridge.,A mother and daughter are walking.,1
A woman holding a newborn baby.,woman holds baby,0
A girl with short hair and a white shirt is holding a beer bottle,There is a girl holding a beer bottle.,1
The white dog runs across the snow.,The dog was indoors by the fire.,0
"Two guys playing soccer, one in red and the other in blue.",The men are playing soccer.,1
"Two girls, one with dark hair, wearing glasses and red pants, the other with a blue shirt and jeans with blond-hair talking and walking down a sidewalk.",Two people are outside walking together.,1
A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.,A woman bites into a marshmallow chick,1
Three men dressed in suits and ties clasps their raised hands while standing in front of corporate logos.,There are three men sitting at a poker table.,0
Female gymnasts warm up before a competition.,Football players practice.,1
A worker is preparing fish to be sold at a market.,A person is working at a market.,0
"A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.",A person is dancing and singing.,1
A city street corner with two passing bicyclists and several pedestrians.,The people are in a city.,0
A man is standing on his tip toes in front of two people sitting in the car.,A man stands on his tip toes in front of two people.,0
"A lady wearing gloves, and a ponytail cooks something while people stand and watch.",The lady is asleep,0
"A black women holding a sign that says, ""free hugs"" in the city.",a woman is holding a sign,1
Six seated men converse and one man fiddles with an interesting contraption.,Women are sitting around a table drinking coffee.,0
Two men fixing a bicycle.,Two men fix their bicycle.,0
"The person is fishing, with waves splashing around him.",The person is sitting at home watching television.,0
A thin brunette woman lounges while reading on a rooftop overlooking a cityscape.,A fat blonde is eating a hot dog,0
A man and two kids standing in front of an ancient building.,A man is standing with two kids.,0
The man in the black hat has his back to a theater sign.,The man is at home watching TV.,0
Performer who is wearing 2 hats a scary mask and a black and white robe.,A costume is being worn by a performer.,1
Several women are playing volleyball.,They women are hitting a ball with their arms,1
A man with a latex glove and black t-shit is standing in front of a Chevy van.,a man standing in front of a van,0
"A man in a helmet and protective gear driving a go kart, numbered 65, on a narrow paved road.","A man driving a go kart, numbered 34, on a narrow dirt road.",0
A man in jeans and a brown shirt jumps high in the air in a living room that has a fireplace and wooden floor.,a guy in brown jumps up in a room with a  wood floor,0
A young girl with a white long-sleeved shirt on helps a young boy brown long-sleeved shirt on with tying his shoelaces.,A girl helps a boy tie his shoes,1
A group of adults stands in the bathroom looking down a small child in the bath.,People are in the house.,1
Two men help each other cut a sheet of plastic.,Two friends drink beer.,0
Two dogs in a grassy field.,Two dogs are outside.,1
Woman reading a book with a grocery tote.,A woman is holding a book.,0
"A woman is sitting in a chair, while a man is going through the sport utility vehicle.",a girl is sitting,1
A dog opens its mouth to catch a blue and yellow toy.,The pet is chewing on a bone,1
"A man smokes while leaning against a pillar, which has a ""missing person"" flier posted on it.",two girls sit and play in a waiting room,0
"A man holding some sort of vegetables while his wife in a red sweater stares to the side, and his daughter in a red sweater looks at the camera.",A man holding grapes poses for a painting.,1
"Clowning around in the bathroom, toothpaste makeup!",fooling around in the bedroom,0
A young boy hanging on a pole smiling at the camera.,The young boy is smiling.,0
Boy sitting looking through a glass window at a train station.,A boy is sitting at a train station.,0
Band plays in tight quarters.,The group of people are walking on the sidewalk in the city.,1
A woman rests her head on a man's shoulder.,Woman resting her head on man's shoulder,0
A woman outside in the snow holds a container that produces steam.,A woman outside in the hot sand.,0
A man biking down a tunnel.,A man is playing video games.,1
"An impoverished person, wearing a torn brown shirt and no shoes, is kneeling down along the banks of a trash infested body of water.",An individual is playing guitar on the streets.,1
Person with umbrella observes flooded streets with cars in the water.,A person is outside.,1
Two men fixing a bicycle.,Two men work on a motorcycle.,1
Some men in burgundy coats try to push a car in the snow.,There are men trying to push a car in snow.,1
A man is looking at the camera posing for a photo with his arm around a woman who is looking away.,Two clowns attack a lion.,1
"Three women sit at a table, taking notes from three identical magazines.",Three women are reading and writing.,1
"A person in an orange jacket getting out of the rear of a Toyota SUV, parked in front of a view of the ocean and mountains.",A person is getting out of an SUV.,0
A large group of people walking in a busy city at night.,People are outside in a park.,0
A man wearing black pants rides along a concrete ledge on rollerblades.,The roller blade wheels are square.,0
"Two guys playing soccer, one in red and the other in blue.",The men are playing field hockey.,1
A man in a purple mascot costume is standing outside of a store while a man and a woman each wearing flamboyant clothing stand off to the side.,The man is wearing the costume.,0
At least eight people are sitting at a table in a building that overlooks the city.,people sitting at a table,0
A man in a green shirt and a red kilt is juggling three clubs.,A man in a shirt juggles.,0
A man interviews a boy in a gathering of people.,A man interviews a boy.,1
A man visiting a friend in the hospital.,A man and a patient in a hospital room.,0
Mom and little boy having fun & eating by the lake.,Two humans enjoying the outside.,1
A crowd gathers and watches a bonfire.,A crowd feels the warmth of a bonfire.,1
A male sitting down enjoy his coffee at a coffee shop.,A person is drinking coffee.,0
A tractor decorated as a float for a parade,a tractor is decorated for a parade,1
Two green painted women perform for a crowd of onlookers.,People are nearby.,1
A basketball player in white in red goes up for the shot as two defensive men in red jump up to block the shot.,A basketball player is trying to make a shot while two players try to block it.,1
A girl in a green coat walks down a rural road playing a flute,The country road has a walker wearing green.,1
A boy and girl child swing together on a swing set.,Two children are playing on a swing set.,1
A man with two small boys making a purchase from a woman.,The little boys are flying a kite with the man and the woman.,0
A female gymnast in black and red being coached on bar skills.,The female gymnast is on her way to the gym.,0
"A group of men are sitting and standing a courtyard, some of them are reading books and some are talking.",Men are reading and milling about.,0
A white duck is spreading its wings while sitting on the water.,There is an animal in the water.,1
"A boy wearing a shirt with the Simpsons character, Ralph Wiggum, plays a Nintendo DS with his sister.",A boy is playing with a ball.,1
several brides wearing white dresses are holding red roses,There is a group of brides.,1
A person is riding their motorbike and a person in a bright yellow jacket is watching someone fall off their bike.,Both people fell off their bike.,0
"a boy wearing jean shorts, and a black and blue shirt, reading a book, sits on a rolling device up against a wall that says book fair, while other people stand around.",A boy is wearing clothes.,0
A topless man straps surfboards on top of his blue car.,A man is sitting on the couch.,0
An asian teenager wearing a white shirt with black stripes is sitting on the steps with his face resting on his hand.,The teenager is seated.,0
Little boy peering into a glass display case.,a girl is walking,1
An old black man sitting on a couple of grocery crates playing the string guitar during the day.,Someone who is visible is more than fifteen years old.,1
A woman happy about something.,A man is yelling at his wife.,0
A black dog with a blue collar is jumping into the water.,A dog is avoiding the water.,0
Women playing volleyball in the sand near the ocean.,Women cooking dinner,0
People sitting in a dim restaurant eating.,People are eating food.,1
A woman attends to her laundry in a laundromat.,Nobody is doing laundry at the laundromat.,0
A girl wearing black is riding a giant unicycle on the beach.,The girl has clothes on,1
Women in blue dress singing on stage.,A man is singing on stage.,1
A casually dressed young blond woman is looking away sadly as couple near her are kissing.,Two people are having an intimate moment while another avoids looking at them.,1
A young girl jumps off her swing in front of building.,a boy drinks coffee,0
The indian's are performing a sacred dance.,The people are dancing.,1
A man is working in an art studio and is surrounded by art supplies.,a man is at an auto shop.,0
A group of people cleaning some kins of sea animal.,Everyone is asleep in their bed,0
Three children hold a boy's arms down while another boy in a hat shoots a water gun at him.,The boy holds down his laughing nephew as his sister sprays him with water.,0
A dog and a cow play together inside the fence.,A dog and cow are outside.,1
A child in a jeans jacket and shorts holding up a white dress as another darker-skinned child looks at it.,a dog eats his food,0
"A lady is helping another woman work in a silver compartment, which is most likely related to nurse-work.",A lady is helping another woman work,1
People jump over a mountain crevasse on a rope.,People slide over a mountain crevasse on a slide.,0
A woman is taking a picture on the shoulders of another woman in cold weather.,A woman is taking a picture in cold weather.,0
A young boy in an orange shirt and khaki pants points his toy at the camera while he stands in front of the fence.,A kid digging a large hole,0
A crowd of people at a county fair watch three men agitate a large bull.,A man rides horseback in the field.,0
A young boy in suspenders.,The boy has suspenders attached to his pants.,1
A young man throws a Frisbee to a frisbee-golf goal.,A man digging a hole.,0
On a bright and sonny day a man with blue trunks and white and blue shirt appears to be preparing to take a canoe ride,A man is indoors watching someone canoe on television.,0
Women wait under their umbrellas for customers at a fresh food market.,The umbrellas are open.,0
"A young black man wearing a dark leather jacket and gloves is standing on a lit stage, looking down.",A black man is sitting on a couch at his house.,0
A small child wearing a helmet is in a baby carrier that is on the floor.,A child is in a baby carrier.,1
"this Man, with a Red& White Shirt has Water Bottles on this White Truck.",the guy has bottles on the truck,1
"Two men on stilts and a woman twirling a ribbon, lead a festive parade along the streets, while a woman looks on from her window.",Three people are leading a parade.,1
Several women wearing dresses dance in the forest.,there are several women,1
A man is holding an accordion while leaning against a brown fence that overlooks some water.,A woman leans against a fence,0
A man dressed in a red shirt and black tie stands up at a wedding reception to make a speech.,a guy in a red top and tie makes a speech,0
A man standing in a cubicle with a chair that has a black Ginobili jersey on it.,A man is wearing a white sport jersey in his cubicle.,0
A yellow backhoe near a large pile of dirt and rocks near a blue machine with a worker standing on it.,A worker is outside.,1
A family walking with a soldier.,The barber cuts a man's hair.,0
A large crowd is standing around the start line.,People are crossing a finish line,1
A mom and her boy are riding in a bumper car.,The mom and boy are at an amusement park.,0
A man in a green shirt and dark pants and carrying a really big pot turns around to talk to 3 other people.,A person in a shirt,0
A woman in a blue apron is holding a container of ice cream.,A woman in an apron is cooking spaghetti.,0
A man in green kick a soccer ball while a man in purple and white is falling down.,A man in green threw his soccer ball at the dog.,0
"Two formally dressed, bald older women",Two long-haired young women.,1
A classroom of mostly women is being shown a presentation.,The class of mostly females watched a presentation.,0
A half dressed man is sleeping on the sidewalk.,a man is drinking coffee,0
A boy wearing a yellow shirt and blue pants is climbing a tree in a hilly area.,The boy is playing video games upstairs in his room.,0
A couple has been photographed through a gap in the fence while they are sitting near the water.,The couple is standing next to a cake.,0
A woman in a pink top is holding a glass bottle in one hand and a Stitch doll in the other.,The doll isn't Stitch,0
Man with an orange bandanna is playing the flute.,Woman with an orange bandanna is playing the flute.,1
A man and a woman are laughing.,Two people are crying.,0
